Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","45","Comoros","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1313","Fc","Calculated data"
"QC","Crops","45","Comoros","5510","Production","656","Coffee, green","2018","2018","tonnes","137","Im","FAO data based on imputation methodology"
"QC","Crops","46","Congo","5312","Area harvested","656","Coffee, green","2018","2018","ha","9791","Im","FAO data based on imputation methodology"
"QC","Crops","46","Congo","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3106","Fc","Calculated data"
"QC","Crops","46","Congo","5510","Production","656","Coffee, green","2018","2018","tonnes","3041","Im","FAO data based on imputation methodology"
"QC","Crops","47","Cook Islands","5312","Area harvested","656","Coffee, green","2018","2018","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","47","Cook Islands","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8145","Fc","Calculated data"
"QC","Crops","47","Cook Islands","5510","Production","656","Coffee, green","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"QC","Crops","48","Costa Rica","5312","Area harvested","656","Coffee, green","2018","2018","ha","84133","","Official data"
"QC","Crops","48","Costa Rica","5419","Yield","656","Coffee, green","2018","2018","hg/ha","10143","Fc","Calculated data"
"QC","Crops","48","Costa Rica","5510","Production","656","Coffee, green","2018","2018","tonnes","85340","*","Unofficial figure"
"QC","Crops","107","Côte d'Ivoire","5312","Area harvested","656","Coffee, green","2018","2018","ha","597664","Im","FAO data based on imputation methodology"
"QC","Crops","107","Côte d'Ivoire","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1487","Fc","Calculated data"
"QC","Crops","107","Côte d'Ivoire","5510","Production","656","Coffee, green","2018","2018","tonnes","88867","Im","FAO data based on imputation methodology"
"QC","Crops","49","Cuba","5312","Area harvested","656","Coffee, green","2018","2018","ha","21180","Im","FAO data based on imputation methodology"
"QC","Crops","49","Cuba","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3217","Fc","Calculated data"
"QC","Crops","49","Cuba","5510","Production","656","Coffee, green","2018","2018","tonnes","6814","Im","FAO data based on imputation methodology"
"QC","Crops","250","Democratic Republic of the Congo","5312","Area harvested","656","Coffee, green","2018","2018","ha","75536","Im","FAO data based on imputation methodology"
"QC","Crops","250","Democratic Republic of the Congo","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3928","Fc","Calculated data"
"QC","Crops","250","Democratic Republic of the Congo","5510","Production","656","Coffee, green","2018","2018","tonnes","29673","Im","FAO data based on imputation methodology"
"QC","Crops","55","Dominica","5312","Area harvested","656","Coffee, green","2018","2018","ha","568","Im","FAO data based on imputation methodology"
"QC","Crops","55","Dominica","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3976","Fc","Calculated data"
"QC","Crops","55","Dominica","5510","Production","656","Coffee, green","2018","2018","tonnes","226","Im","FAO data based on imputation methodology"
"QC","Crops","56","Dominican Republic","5312","Area harvested","656","Coffee, green","2018","2018","ha","75102","","Official data"
"QC","Crops","56","Dominican Republic","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2452","Fc","Calculated data"
"QC","Crops","56","Dominican Republic","5510","Production","656","Coffee, green","2018","2018","tonnes","18416","","Official data"
"QC","Crops","58","Ecuador","5312","Area harvested","656","Coffee, green","2018","2018","ha","31924","","Official data"
"QC","Crops","58","Ecuador","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1587","Fc","Calculated data"
"QC","Crops","58","Ecuador","5510","Production","656","Coffee, green","2018","2018","tonnes","5065","","Official data"
"QC","Crops","60","El Salvador","5312","Area harvested","656","Coffee, green","2018","2018","ha","130600","Im","FAO data based on imputation methodology"
"QC","Crops","60","El Salvador","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6138","Fc","Calculated data"
"QC","Crops","60","El Salvador","5510","Production","656","Coffee, green","2018","2018","tonnes","80167","Im","FAO data based on imputation methodology"
"QC","Crops","61","Equatorial Guinea","5312","Area harvested","656","Coffee, green","2018","2018","ha","11554","Im","FAO data based on imputation methodology"
"QC","Crops","61","Equatorial Guinea","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3679","Fc","Calculated data"
"QC","Crops","61","Equatorial Guinea","5510","Production","656","Coffee, green","2018","2018","tonnes","4251","Im","FAO data based on imputation methodology"
"QC","Crops","238","Ethiopia","5312","Area harvested","656","Coffee, green","2018","2018","ha","686082","Im","FAO data based on imputation methodology"
"QC","Crops","238","Ethiopia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6854","Fc","Calculated data"
"QC","Crops","238","Ethiopia","5510","Production","656","Coffee, green","2018","2018","tonnes","470221","Im","FAO data based on imputation methodology"
"QC","Crops","66","Fiji","5312","Area harvested","656","Coffee, green","2018","2018","ha","39","Im","FAO data based on imputation methodology"
"QC","Crops","66","Fiji","5419","Yield","656","Coffee, green","2018","2018","hg/ha","4967","Fc","Calculated data"
"QC","Crops","66","Fiji","5510","Production","656","Coffee, green","2018","2018","tonnes","19","Im","FAO data based on imputation methodology"
"QC","Crops","70","French Polynesia","5312","Area harvested","656","Coffee, green","2018","2018","ha","101","Im","FAO data based on imputation methodology"
"QC","Crops","70","French Polynesia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2254","Fc","Calculated data"
"QC","Crops","70","French Polynesia","5510","Production","656","Coffee, green","2018","2018","tonnes","23","Im","FAO data based on imputation methodology"
"QC","Crops","74","Gabon","5312","Area harvested","656","Coffee, green","2018","2018","ha","255","Im","FAO data based on imputation methodology"
"QC","Crops","74","Gabon","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3432","Fc","Calculated data"
"QC","Crops","74","Gabon","5510","Production","656","Coffee, green","2018","2018","tonnes","88","Im","FAO data based on imputation methodology"
"QC","Crops","81","Ghana","5312","Area harvested","656","Coffee, green","2018","2018","ha","439","Im","FAO data based on imputation methodology"
"QC","Crops","81","Ghana","5419","Yield","656","Coffee, green","2018","2018","hg/ha","16770","Fc","Calculated data"
"QC","Crops","81","Ghana","5510","Production","656","Coffee, green","2018","2018","tonnes","735","Im","FAO data based on imputation methodology"
"QC","Crops","87","Guadeloupe","5312","Area harvested","656","Coffee, green","2018","2018","ha","34","Im","FAO data based on imputation methodology"
"QC","Crops","87","Guadeloupe","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8831","Fc","Calculated data"
"QC","Crops","87","Guadeloupe","5510","Production","656","Coffee, green","2018","2018","tonnes","30","Im","FAO data based on imputation methodology"
"QC","Crops","89","Guatemala","5312","Area harvested","656","Coffee, green","2018","2018","ha","292268","Im","FAO data based on imputation methodology"
"QC","Crops","89","Guatemala","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8403","Fc","Calculated data"
"QC","Crops","89","Guatemala","5510","Production","656","Coffee, green","2018","2018","tonnes","245580","Im","FAO data based on imputation methodology"
"QC","Crops","90","Guinea","5312","Area harvested","656","Coffee, green","2018","2018","ha","104723","Im","FAO data based on imputation methodology"
"QC","Crops","90","Guinea","5419","Yield","656","Coffee, green","2018","2018","hg/ha","4097","Fc","Calculated data"
"QC","Crops","90","Guinea","5510","Production","656","Coffee, green","2018","2018","tonnes","42900","","Official data"
"QC","Crops","91","Guyana","5312","Area harvested","656","Coffee, green","2018","2018","ha","513","Im","FAO data based on imputation methodology"
"QC","Crops","91","Guyana","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7853","Fc","Calculated data"
"QC","Crops","91","Guyana","5510","Production","656","Coffee, green","2018","2018","tonnes","403","Im","FAO data based on imputation methodology"
"QC","Crops","93","Haiti","5312","Area harvested","656","Coffee, green","2018","2018","ha","85503","Im","FAO data based on imputation methodology"
"QC","Crops","93","Haiti","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5169","Fc","Calculated data"
"QC","Crops","93","Haiti","5510","Production","656","Coffee, green","2018","2018","tonnes","44200","Im","FAO data based on imputation methodology"
"QC","Crops","95","Honduras","5312","Area harvested","656","Coffee, green","2018","2018","ha","432499","Im","FAO data based on imputation methodology"
"QC","Crops","95","Honduras","5419","Yield","656","Coffee, green","2018","2018","hg/ha","11123","Fc","Calculated data"
"QC","Crops","95","Honduras","5510","Production","656","Coffee, green","2018","2018","tonnes","481053","","Official data"
"QC","Crops","100","India","5312","Area harvested","656","Coffee, green","2018","2018","ha","444256","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7360","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","656","Coffee, green","2018","2018","tonnes","326982","Im","FAO data based on imputation methodology"
"QC","Crops","101","Indonesia","5312","Area harvested","656","Coffee, green","2018","2018","ha","1241514","","Official data"
"QC","Crops","101","Indonesia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5819","Fc","Calculated data"
"QC","Crops","101","Indonesia","5510","Production","656","Coffee, green","2018","2018","tonnes","722461","","Official data"
"QC","Crops","109","Jamaica","5312","Area harvested","656","Coffee, green","2018","2018","ha","8836","Im","FAO data based on imputation methodology"
"QC","Crops","109","Jamaica","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8018","Fc","Calculated data"
"QC","Crops","109","Jamaica","5510","Production","656","Coffee, green","2018","2018","tonnes","7085","","Official data"
"QC","Crops","114","Kenya","5312","Area harvested","656","Coffee, green","2018","2018","ha","115570","","Official data"
"QC","Crops","114","Kenya","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3580","Fc","Calculated data"
"QC","Crops","114","Kenya","5510","Production","656","Coffee, green","2018","2018","tonnes","41375","","Official data"
"QC","Crops","120","Lao People's Democratic Republic","5312","Area harvested","656","Coffee, green","2018","2018","ha","82980","","Official data"
"QC","Crops","120","Lao People's Democratic Republic","5419","Yield","656","Coffee, green","2018","2018","hg/ha","18611","Fc","Calculated data"
"QC","Crops","120","Lao People's Democratic Republic","5510","Production","656","Coffee, green","2018","2018","tonnes","154435","","Official data"
"QC","Crops","123","Liberia","5312","Area harvested","656","Coffee, green","2018","2018","ha","2713","Im","FAO data based on imputation methodology"
"QC","Crops","123","Liberia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2388","Fc","Calculated data"
"QC","Crops","123","Liberia","5510","Production","656","Coffee, green","2018","2018","tonnes","648","Im","FAO data based on imputation methodology"
"QC","Crops","129","Madagascar","5312","Area harvested","656","Coffee, green","2018","2018","ha","106000","Im","FAO data based on imputation methodology"
"QC","Crops","129","Madagascar","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5420","Fc","Calculated data"
"QC","Crops","129","Madagascar","5510","Production","656","Coffee, green","2018","2018","tonnes","57451","Im","FAO data based on imputation methodology"
"QC","Crops","130","Malawi","5312","Area harvested","656","Coffee, green","2018","2018","ha","4747","","Official data"
"QC","Crops","130","Malawi","5419","Yield","656","Coffee, green","2018","2018","hg/ha","23346","Fc","Calculated data"
"QC","Crops","130","Malawi","5510","Production","656","Coffee, green","2018","2018","tonnes","11082","","Official data"
"QC","Crops","131","Malaysia","5312","Area harvested","656","Coffee, green","2018","2018","ha","2321","Im","FAO data based on imputation methodology"
"QC","Crops","131","Malaysia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","37665","Fc","Calculated data"
"QC","Crops","131","Malaysia","5510","Production","656","Coffee, green","2018","2018","tonnes","8743","Im","FAO data based on imputation methodology"
"QC","Crops","135","Martinique","5312","Area harvested","656","Coffee, green","2018","2018","ha","27","Im","FAO data based on imputation methodology"
"QC","Crops","135","Martinique","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9824","Fc","Calculated data"
"QC","Crops","135","Martinique","5510","Production","656","Coffee, green","2018","2018","tonnes","26","Im","FAO data based on imputation methodology"
"QC","Crops","137","Mauritius","5312","Area harvested","656","Coffee, green","2018","2018","ha","","M","Data not available"
"QC","Crops","137","Mauritius","5510","Production","656","Coffee, green","2018","2018","tonnes","","M","Data not available"
"QC","Crops","138","Mexico","5312","Area harvested","656","Coffee, green","2018","2018","ha","629799","","Official data"
"QC","Crops","138","Mexico","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2514","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","656","Coffee, green","2018","2018","tonnes","158325","*","Unofficial figure"
"QC","Crops","144","Mozambique","5312","Area harvested","656","Coffee, green","2018","2018","ha","885","Im","FAO data based on imputation methodology"
"QC","Crops","144","Mozambique","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9557","Fc","Calculated data"
"QC","Crops","144","Mozambique","5510","Production","656","Coffee, green","2018","2018","tonnes","846","Im","FAO data based on imputation methodology"
"QC","Crops","28","Myanmar","5312","Area harvested","656","Coffee, green","2018","2018","ha","12074","Im","FAO data based on imputation methodology"
"QC","Crops","28","Myanmar","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7129","Fc","Calculated data"
"QC","Crops","28","Myanmar","5510","Production","656","Coffee, green","2018","2018","tonnes","8607","Im","FAO data based on imputation methodology"
"QC","Crops","149","Nepal","5312","Area harvested","656","Coffee, green","2018","2018","ha","2650","","Official data"
"QC","Crops","149","Nepal","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1936","Fc","Calculated data"
"QC","Crops","149","Nepal","5510","Production","656","Coffee, green","2018","2018","tonnes","513","","Official data"
"QC","Crops","153","New Caledonia","5312","Area harvested","656","Coffee, green","2018","2018","ha","37","Im","FAO data based on imputation methodology"
"QC","Crops","153","New Caledonia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1360","Fc","Calculated data"
"QC","Crops","153","New Caledonia","5510","Production","656","Coffee, green","2018","2018","tonnes","5","Im","FAO data based on imputation methodology"
"QC","Crops","157","Nicaragua","5312","Area harvested","656","Coffee, green","2018","2018","ha","133000","","Official data"
"QC","Crops","157","Nicaragua","5419","Yield","656","Coffee, green","2018","2018","hg/ha","10672","Fc","Calculated data"
"QC","Crops","157","Nicaragua","5510","Production","656","Coffee, green","2018","2018","tonnes","141931","","Official data"
"QC","Crops","159","Nigeria","5312","Area harvested","656","Coffee, green","2018","2018","ha","1483","Im","FAO data based on imputation methodology"
"QC","Crops","159","Nigeria","5419","Yield","656","Coffee, green","2018","2018","hg/ha","12465","Fc","Calculated data"
"QC","Crops","159","Nigeria","5510","Production","656","Coffee, green","2018","2018","tonnes","1849","Im","FAO data based on imputation methodology"
"QC","Crops","166","Panama","5312","Area harvested","656","Coffee, green","2018","2018","ha","15083","Im","FAO data based on imputation methodology"
"QC","Crops","166","Panama","5419","Yield","656","Coffee, green","2018","2018","hg/ha","4461","Fc","Calculated data"
"QC","Crops","166","Panama","5510","Production","656","Coffee, green","2018","2018","tonnes","6729","Im","FAO data based on imputation methodology"
"QC","Crops","168","Papua New Guinea","5312","Area harvested","656","Coffee, green","2018","2018","ha","54478","Im","FAO data based on imputation methodology"
"QC","Crops","168","Papua New Guinea","5419","Yield","656","Coffee, green","2018","2018","hg/ha","10640","Fc","Calculated data"
"QC","Crops","168","Papua New Guinea","5510","Production","656","Coffee, green","2018","2018","tonnes","57965","Im","FAO data based on imputation methodology"
"QC","Crops","169","Paraguay","5312","Area harvested","656","Coffee, green","2018","2018","ha","320","","Official data"
"QC","Crops","169","Paraguay","5419","Yield","656","Coffee, green","2018","2018","hg/ha","13781","Fc","Calculated data"
"QC","Crops","169","Paraguay","5510","Production","656","Coffee, green","2018","2018","tonnes","441","","Official data"
"QC","Crops","170","Peru","5312","Area harvested","656","Coffee, green","2018","2018","ha","446137","","Official data"
"QC","Crops","170","Peru","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8285","Fc","Calculated data"
"QC","Crops","170","Peru","5510","Production","656","Coffee, green","2018","2018","tonnes","369622","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","656","Coffee, green","2018","2018","ha","113352","","Official data"
"QC","Crops","171","Philippines","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5321","Fc","Calculated data"
"QC","Crops","171","Philippines","5510","Production","656","Coffee, green","2018","2018","tonnes","60313","","Official data"
"QC","Crops","177","Puerto Rico","5312","Area harvested","656","Coffee, green","2018","2018","ha","6346","Im","FAO data based on imputation methodology"
"QC","Crops","177","Puerto Rico","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6101","Fc","Calculated data"
"QC","Crops","177","Puerto Rico","5510","Production","656","Coffee, green","2018","2018","tonnes","3872","Im","FAO data based on imputation methodology"
"QC","Crops","184","Rwanda","5312","Area harvested","656","Coffee, green","2018","2018","ha","50625","Im","FAO data based on imputation methodology"
"QC","Crops","184","Rwanda","5419","Yield","656","Coffee, green","2018","2018","hg/ha","4256","Fc","Calculated data"
"QC","Crops","184","Rwanda","5510","Production","656","Coffee, green","2018","2018","tonnes","21548","","Official data"
"QC","Crops","189","Saint Lucia","5312","Area harvested","656","Coffee, green","2018","2018","ha","","M","Data not available"
"QC","Crops","189","Saint Lucia","5510","Production","656","Coffee, green","2018","2018","tonnes","","M","Data not available"
"QC","Crops","191","Saint Vincent and the Grenadines","5312","Area harvested","656","Coffee, green","2018","2018","ha","603","Im","FAO data based on imputation methodology"
"QC","Crops","191","Saint Vincent and the Grenadines","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2999","Fc","Calculated data"
"QC","Crops","191","Saint Vincent and the Grenadines","5510","Production","656","Coffee, green","2018","2018","tonnes","181","Im","FAO data based on imputation methodology"
"QC","Crops","244","Samoa","5312","Area harvested","656","Coffee, green","2018","2018","ha","42","Im","FAO data based on imputation methodology"
"QC","Crops","244","Samoa","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3073","Fc","Calculated data"
"QC","Crops","244","Samoa","5510","Production","656","Coffee, green","2018","2018","tonnes","13","Im","FAO data based on imputation methodology"
"QC","Crops","193","Sao Tome and Principe","5312","Area harvested","656","Coffee, green","2018","2018","ha","237","Im","FAO data based on imputation methodology"
"QC","Crops","193","Sao Tome and Principe","5419","Yield","656","Coffee, green","2018","2018","hg/ha","415","Fc","Calculated data"
"QC","Crops","193","Sao Tome and Principe","5510","Production","656","Coffee, green","2018","2018","tonnes","10","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","656","Coffee, green","2018","2018","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5510","Production","656","Coffee, green","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"QC","Crops","197","Sierra Leone","5312","Area harvested","656","Coffee, green","2018","2018","ha","13215","Im","FAO data based on imputation methodology"
"QC","Crops","197","Sierra Leone","5419","Yield","656","Coffee, green","2018","2018","hg/ha","21260","Fc","Calculated data"
"QC","Crops","197","Sierra Leone","5510","Production","656","Coffee, green","2018","2018","tonnes","28096","Im","FAO data based on imputation methodology"
"QC","Crops","203","Spain","5312","Area harvested","656","Coffee, green","2018","2018","ha","","M","Data not available"
"QC","Crops","203","Spain","5510","Production","656","Coffee, green","2018","2018","tonnes","","M","Data not available"
"QC","Crops","38","Sri Lanka","5312","Area harvested","656","Coffee, green","2018","2018","ha","7005","","Official data"
"QC","Crops","38","Sri Lanka","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9201","Fc","Calculated data"
"QC","Crops","38","Sri Lanka","5510","Production","656","Coffee, green","2018","2018","tonnes","6445","","Official data"
"QC","Crops","207","Suriname","5312","Area harvested","656","Coffee, green","2018","2018","ha","226","Im","FAO data based on imputation methodology"
"QC","Crops","207","Suriname","5419","Yield","656","Coffee, green","2018","2018","hg/ha","232","Fc","Calculated data"
"QC","Crops","207","Suriname","5510","Production","656","Coffee, green","2018","2018","tonnes","5","Im","FAO data based on imputation methodology"
"QC","Crops","216","Thailand","5312","Area harvested","656","Coffee, green","2018","2018","ha","43254","Im","FAO data based on imputation methodology"
"QC","Crops","216","Thailand","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7556","Fc","Calculated data"
"QC","Crops","216","Thailand","5510","Production","656","Coffee, green","2018","2018","tonnes","32684","Im","FAO data based on imputation methodology"
"QC","Crops","176","Timor-Leste","5312","Area harvested","656","Coffee, green","2018","2018","ha","46950","Im","FAO data based on imputation methodology"
"QC","Crops","176","Timor-Leste","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1891","Fc","Calculated data"
"QC","Crops","176","Timor-Leste","5510","Production","656","Coffee, green","2018","2018","tonnes","8876","Im","FAO data based on imputation methodology"
"QC","Crops","217","Togo","5312","Area harvested","656","Coffee, green","2018","2018","ha","66253","Im","FAO data based on imputation methodology"
"QC","Crops","217","Togo","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3173","Fc","Calculated data"
"QC","Crops","217","Togo","5510","Production","656","Coffee, green","2018","2018","tonnes","21023","","Official data"
"QC","Crops","219","Tonga","5312","Area harvested","656","Coffee, green","2018","2018","ha","11","Im","FAO data based on imputation methodology"
"QC","Crops","219","Tonga","5419","Yield","656","Coffee, green","2018","2018","hg/ha","14498","Fc","Calculated data"
"QC","Crops","219","Tonga","5510","Production","656","Coffee, green","2018","2018","tonnes","16","Im","FAO data based on imputation methodology"
"QC","Crops","220","Trinidad and Tobago","5312","Area harvested","656","Coffee, green","2018","2018","ha","351","Im","FAO data based on imputation methodology"
"QC","Crops","220","Trinidad and Tobago","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1451","Fc","Calculated data"
"QC","Crops","220","Trinidad and Tobago","5510","Production","656","Coffee, green","2018","2018","tonnes","51","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","656","Coffee, green","2018","2018","ha","394527","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5419","Yield","656","Coffee, green","2018","2018","hg/ha","5353","Fc","Calculated data"
"QC","Crops","226","Uganda","5510","Production","656","Coffee, green","2018","2018","tonnes","211200","Im","FAO data based on imputation methodology"
"QC","Crops","215","United Republic of Tanzania","5312","Area harvested","656","Coffee, green","2018","2018","ha","184664","Im","FAO data based on imputation methodology"
"QC","Crops","215","United Republic of Tanzania","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3020","Fc","Calculated data"
"QC","Crops","215","United Republic of Tanzania","5510","Production","656","Coffee, green","2018","2018","tonnes","55770","Im","FAO data based on imputation methodology"
"QC","Crops","231","United States of America","5312","Area harvested","656","Coffee, green","2018","2018","ha","3112","Im","FAO data based on imputation methodology"
"QC","Crops","231","United States of America","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7646","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","656","Coffee, green","2018","2018","tonnes","2380","Im","FAO data based on imputation methodology"
"QC","Crops","155","Vanuatu","5312","Area harvested","656","Coffee, green","2018","2018","ha","48","Im","FAO data based on imputation methodology"
